dataset,split,comparator,mean_benefit,ci_low,ci_high,max_ci_difference
ESOL,random,Graph_descriptor_fusion,0.006335868559503988,-0.01446817567808798,0.02577566748523219,9.020562075079397e-17
ESOL,random,ExtraTrees_desc,0.03639261044221909,-0.03206039148130444,0.08472074313650069,8.326672684688674e-17
ESOL,scaffold,Graph_descriptor_fusion,0.06671336492906606,0.0241152430088055,0.115327864271867,0.0
ESOL,scaffold,ExtraTrees_desc,0.05663879061494441,0.039785127539496125,0.07149264055980464,4.163336342344337e-17
ESOL,butina,Graph_descriptor_fusion,0.004975167270194714,-0.009182298855564697,0.021285777752739786,9.71445146547012e-17
ESOL,butina,ExtraTrees_desc,0.05913519958204401,0.00037162748295296313,0.11304320402713039,8.326672684688674e-17
BBBP,random,Graph_descriptor_fusion,-0.001236714975845432,-0.009494363929146533,0.008051529790660195,6.765421556309548e-17
BBBP,random,RF_Morgan,0.0014299516908212518,-0.014776167471819646,0.01763607085346215,4.85722573273506e-17
BBBP,scaffold,Graph_descriptor_fusion,-0.000453676736507691,-0.00411751539904961,0.004017622492926187,8.673617379884035e-17
BBBP,scaffold,RF_Morgan,0.010683048762829706,-0.00396822554602434,0.0208711196353085,2.0122792321330962e-16
BBBP,butina,Graph_descriptor_fusion,0.005347322785356945,-0.010897054100311143,0.022296774073777524,4.336808689942018e-17
BBBP,butina,ExtraTrees_desc,-0.019791781213965475,-0.03430404612040523,-0.008094253569284083,1.3183898417423734e-16
