dataset,split,seed,n_train,n_valid,n_test
ESOL,random,20260711,781,168,168
ESOL,random,20260719,781,168,168
ESOL,random,20260727,781,168,168
ESOL,random,20260804,781,168,168
ESOL,random,20260812,781,168,168
ESOL,scaffold,20260711,781,168,168
ESOL,scaffold,20260719,781,168,168
ESOL,scaffold,20260727,781,168,168
ESOL,scaffold,20260804,781,168,168
ESOL,scaffold,20260812,781,168,168
ESOL,butina,20260711,781,168,168
ESOL,butina,20260719,781,168,168
ESOL,butina,20260727,781,168,168
ESOL,butina,20260804,781,168,168
ESOL,butina,20260812,781,168,168
BBBP,random,20260711,1368,293,294
BBBP,random,20260719,1368,293,294
BBBP,random,20260727,1368,293,294
BBBP,random,20260804,1368,293,294
BBBP,random,20260812,1368,293,294
BBBP,scaffold,20260711,1368,294,293
BBBP,scaffold,20260719,1368,294,293
BBBP,scaffold,20260727,1368,294,293
BBBP,scaffold,20260804,1368,294,293
BBBP,scaffold,20260812,1368,294,293
BBBP,butina,20260711,1368,294,293
BBBP,butina,20260719,1368,294,293
BBBP,butina,20260727,1368,294,293
BBBP,butina,20260804,1368,294,293
BBBP,butina,20260812,1368,294,293
