dataset,split,model,mean,std
FreeSolv,random,Graph_descriptor_fusion,0.9210922464070096,0.0837435963176457
FreeSolv,random,RF_Morgan,1.9592715302937345,0.07099084825207735
FreeSolv,random,RF_desc,1.0569622627956747,0.15700618863045768
FreeSolv,random,Ridge_desc,1.3723666583190532,0.06384199124454241
FreeSolv,random,XGBoost_desc,0.8840286059655353,0.09067155674067419
FreeSolv,scaffold,Graph_descriptor_fusion,1.0899578008799364,0.094314328723758
FreeSolv,scaffold,RF_Morgan,2.149200523445993,0.2515633051055852
FreeSolv,scaffold,RF_desc,1.1549215433529023,0.16690878599407008
FreeSolv,scaffold,Ridge_desc,1.5560886442136128,0.15517956892282694
FreeSolv,scaffold,XGBoost_desc,1.1908749969252714,0.34868433141210836
Lipophilicity,random,Graph_descriptor_fusion,0.6760572512492153,0.02486569769929232
Lipophilicity,random,RF_Morgan,0.9069771745820058,0.020629323496609512
Lipophilicity,random,RF_desc,0.8715872653305059,0.014858525057996029
Lipophilicity,random,Ridge_desc,1.0411614856076723,0.01983399928364061
Lipophilicity,random,XGBoost_desc,0.8733556763783769,0.013577346215657978
Lipophilicity,scaffold,Graph_descriptor_fusion,0.7283717211831212,0.0355482973272352
Lipophilicity,scaffold,RF_Morgan,0.950710901841215,0.012907592414677734
Lipophilicity,scaffold,RF_desc,0.8882092336382651,0.006483220135891374
Lipophilicity,scaffold,Ridge_desc,0.9989341490351586,0.023369303661326533
Lipophilicity,scaffold,XGBoost_desc,0.8941697342631079,0.030205748538236668
